id,rank,value,grade,category,year,type
Sacramento,39,F,F,2,2012,grade
Sacramento,30,D+,D+,3,2012,grade
Sacramento,39,F,F,6,2012,grade
Sacramento,39,F,F,7,2012,grade
Sacramento,39,F,F,8,2012,grade
Sacramento,40,F,F,9,2012,grade
Sacramento,39,F,F,10,2012,grade
Sacramento,39,F,F,11,2012,grade
Sacramento,37,F,F,12,2012,grade
Salt Lake City,7,A,A,1,2012,grade
Salt Lake City,11,A-,A-,2,2012,grade
Salt Lake City,11,A-,A-,3,2012,grade
Salt Lake City,15,B,B,6,2012,grade
Salt Lake City,7,A,A,7,2012,grade
Salt Lake City,27,C-,C-,8,2012,grade
Salt Lake City,18,B-,B-,9,2012,grade
Salt Lake City,17,B,B,10,2012,grade
Salt Lake City,10,A-,A-,11,2012,grade
Salt Lake City,10,A-,A-,12,2012,grade
San Antonio,3,A+,A+,1,2012,grade
San Antonio,12,B+,B+,2,2012,grade
San Antonio,21,C+,C+,3,2012,grade
San Antonio,14,B+,B+,6,2012,grade
San Antonio,12,B+,B+,7,2012,grade
San Antonio,18,B-,B-,8,2012,grade
San Antonio,10,A-,A-,9,2012,grade
San Antonio,15,B,B,10,2012,grade
San Antonio,22,C+,C+,11,2012,grade
San Antonio,13,B+,B+,12,2012,grade
San Diego,39,F,F,1,2012,grade
San Diego,35,D,D,2,2012,grade
San Diego,25,C,C,3,2012,grade
San Diego,40,F,F,6,2012,grade
San Diego,40,F,F,7,2012,grade
San Diego,40,F,F,8,2012,grade
San Diego,38,F,F,9,2012,grade
San Diego,36,D,D,10,2012,grade
San Diego,40,F,F,11,2012,grade
San Diego,40,F,F,12,2012,grade
San Francisco,32,D+,D+,1,2012,grade
San Francisco,30,D+,D+,2,2012,grade
San Francisco,34,D,D,3,2012,grade
San Francisco,38,F,F,6,2012,grade
San Francisco,38,F,F,7,2012,grade
San Francisco,37,F,F,8,2012,grade
San Francisco,36,D,D,9,2012,grade
San Francisco,35,D,D,10,2012,grade
San Francisco,38,F,F,11,2012,grade
San Francisco,35,D,D,12,2012,grade
San Jose,20,B-,B-,1,2012,grade
San Jose,21,C+,C+,2,2012,grade
San Jose,35,D,D,3,2012,grade
San Jose,25,C,C,6,2012,grade
San Jose,26,C,C,7,2012,grade
San Jose,22,C+,C+,8,2012,grade
San Jose,28,C-,C-,9,2012,grade
San Jose,25,C,C,10,2012,grade
San Jose,30,D+,D+,11,2012,grade
San Jose,21,C+,C+,12,2012,grade
Seattle,29,C-,C-,1,2012,grade
Seattle,22,C+,C+,2,2012,grade
Seattle,36,D,D,3,2012,grade
Seattle,32,D+,D+,6,2012,grade
Seattle,27,C-,C-,7,2012,grade
Seattle,30,D+,D+,8,2012,grade
Seattle,34,D,D,9,2012,grade
Seattle,27,C-,C-,10,2012,grade
Seattle,32,D+,D+,11,2012,grade
Seattle,33,D,D,12,2012,grade
Tucson,37,F,F,1,2012,grade
Tucson,40,F,F,2,2012,grade
Tucson,4,A+,A+,3,2012,grade
Tucson,36,D,D,6,2012,grade
Tucson,15,B,B,7,2012,grade
Tucson,35,D,D,8,2012,grade
Tucson,37,F,F,9,2012,grade
Tucson,38,F,F,10,2012,grade
Tucson,28,C-,C-,11,2012,grade
Tucson,39,F,F,12,2012,grade
Virginia Beach,19,B-,B-,1,2012,grade
Virginia Beach,9,A-,A-,2,2012,grade
Virginia Beach,10,A-,A-,3,2012,grade
Virginia Beach,12,B+,B+,6,2012,grade
Virginia Beach,7,A,A,7,2012,grade
Virginia Beach,16,B,B,8,2012,grade
Virginia Beach,17,B,B,9,2012,grade
Virginia Beach,8,A,A,10,2012,grade
Virginia Beach,12,B+,B+,11,2012,grade
Virginia Beach,22,C+,C+,12,2012,grade
Washington,31,D+,D+,1,2012,grade
Washington,38,F,F,2,2012,grade
Washington,39,F,F,3,2012,grade
Washington,2,A+,A+,6,2012,grade
Washington,1,A+,A+,7,2012,grade
Washington,3,A+,A+,8,2012,grade
Washington,2,A+,A+,9,2012,grade
Washington,19,B-,B-,10,2012,grade
Washington,3,A+,A+,11,2012,grade
Washington,2,A+,A+,12,2012,grade
Atlanta,15,A-,A-,1,2013,grade
Atlanta,19,B+,B+,2,2013,grade
Atlanta,16,B+,B+,6,2013,grade
Atlanta,17,B+,B+,7,2013,grade
Atlanta,15,A-,A-,8,2013,grade
Atlanta,11,A-,A-,9,2013,grade
Atlanta,17,B+,B+,10,2013,grade
Atlanta,14,A-,A-,11,2013,grade
Atlanta,14,A-,A-,12,2013,grade
Atlanta,11,A-,A-,22,2013,grade
Atlanta,22,B,B,23,2013,grade
Austin,1,A+,A+,1,2013,grade
Austin,2,A+,A+,2,2013,grade
Austin,9,A,A,6,2013,grade
Austin,10,A,A,7,2013,grade
Austin,6,A,A,8,2013,grade
Austin,12,A-,A-,9,2013,grade
Austin,7,A,A,10,2013,grade
Austin,9,A,A,11,2013,grade
Austin,17,B+,B+,12,2013,grade
Austin,6,A,A,22,2013,grade
Austin,3,A+,A+,23,2013,grade
Baltimore,36,C,C,1,2013,grade
Baltimore,29,B-,B-,2,2013,grade
Baltimore,28,B-,B-,6,2013,grade
Baltimore,24,B,B,7,2013,grade
Baltimore,30,B-,B-,8,2013,grade
Baltimore,29,B-,B-,9,2013,grade
Baltimore,29,B-,B-,10,2013,grade
Baltimore,26,B-,B-,11,2013,grade
Baltimore,24,B,B,12,2013,grade
Baltimore,14,A-,A-,22,2013,grade
Baltimore,34,C+,C+,23,2013,grade
Boston,35,C+,C+,1,2013,grade
Boston,44,C-,C-,2,2013,grade
Boston,38,C,C,6,2013,grade
Boston,35,C+,C+,7,2013,grade
Boston,41,C-,C-,8,2013,grade
Boston,27,B-,B-,9,2013,grade
Boston,44,C-,C-,10,2013,grade
Boston,41,C-,C-,11,2013,grade
Boston,35,C+,C+,12,2013,grade
Boston,49,D+,D+,22,2013,grade
Boston,41,C,C,23,2013,grade
Charlotte,23,B,B,1,2013,grade
Charlotte,11,A-,A-,2,2013,grade
Charlotte,32,C+,C+,6,2013,grade
Charlotte,26,B-,B-,7,2013,grade
Charlotte,28,B-,B-,8,2013,grade
Charlotte,42,C-,C-,9,2013,grade
Charlotte,31,C+,C+,10,2013,grade
Charlotte,32,C+,C+,11,2013,grade
Charlotte,34,C+,C+,12,2013,grade
Charlotte,21,B,B,22,2013,grade
Charlotte,33,C+,C+,23,2013,grade
Chicago,45,C-,C-,1,2013,grade
Chicago,41,C-,C-,2,2013,grade
Chicago,26,B-,B-,6,2013,grade
Chicago,21,B+,B+,7,2013,grade
Chicago,23,B,B,8,2013,grade
Chicago,33,C+,C+,9,2013,grade
Chicago,46,D+,D+,10,2013,grade
Chicago,22,B,B,11,2013,grade
Chicago,22,B,B,12,2013,grade
Chicago,39,C,C,22,2013,grade
Chicago,32,C+,C+,23,2013,grade
Cleveland,12,A-,A-,1,2013,grade
Cleveland,35,C+,C+,2,2013,grade
Cleveland,43,C-,C-,6,2013,grade
Cleveland,25,B,B,7,2013,grade
Cleveland,35,C+,C+,8,2013,grade
Cleveland,45,C-,C-,9,2013,grade
Cleveland,36,C,C,10,2013,grade
Cleveland,45,C-,C-,11,2013,grade
Cleveland,40,C,C,12,2013,grade
Cleveland,7,A,A,22,2013,grade
Cleveland,4,A+,A+,23,2013,grade
Colorado Springs,4,A+,A+,1,2013,grade
Colorado Springs,13,A-,A-,2,2013,grade
Colorado Springs,4,A+,A+,6,2013,grade
Colorado Springs,8,A,A,7,2013,grade
Colorado Springs,8,A,A,8,2013,grade
Colorado Springs,7,A,A,9,2013,grade
Colorado Springs,3,A+,A+,10,2013,grade
Colorado Springs,8,A,A,11,2013,grade
Colorado Springs,2,A+,A+,12,2013,grade
Colorado Springs,5,A+,A+,22,2013,grade
Colorado Springs,16,B+,B+,23,2013,grade
Columbus,9,A,A,1,2013,grade
Columbus,3,A+,A+,2,2013,grade
Columbus,6,A,A,6,2013,grade
Columbus,3,A+,A+,7,2013,grade
Columbus,10,A,A,8,2013,grade
Columbus,10,A,A,9,2013,grade
Columbus,5,A+,A+,10,2013,grade
Columbus,18,B+,B+,11,2013,grade
Columbus,5,A+,A+,12,2013,grade
Columbus,10,A,A,22,2013,grade
Columbus,11,A-,A-,23,2013,grade
Dallas,7,A,A,1,2013,grade
Dallas,4,A+,A+,2,2013,grade
Dallas,7,A,A,6,2013,grade
Dallas,15,A-,A-,7,2013,grade
Dallas,4,A+,A+,8,2013,grade
Dallas,8,A,A,9,2013,grade
Dallas,10,A,A,10,2013,grade
Dallas,7,A,A,11,2013,grade
Dallas,7,A,A,12,2013,grade
Dallas,9,A,A,22,2013,grade
Dallas,27,B-,B-,23,2013,grade
Fort Worth,7,A,A,1,2013,grade
Fort Worth,4,A+,A+,2,2013,grade
Fort Worth,7,A,A,6,2013,grade
Fort Worth,15,A-,A-,7,2013,grade
Fort Worth,4,A+,A+,8,2013,grade
Fort Worth,8,A,A,9,2013,grade
Fort Worth,10,A,A,10,2013,grade
Fort Worth,7,A,A,11,2013,grade
Fort Worth,7,A,A,12,2013,grade
Fort Worth,9,A,A,22,2013,grade
Fort Worth,27,B-,B-,23,2013,grade
Denver,13,A-,A-,1,2013,grade
Denver,22,B,B,2,2013,grade
Denver,27,B-,B-,6,2013,grade
Denver,43,C-,C-,7,2013,grade
Denver,24,B,B,8,2013,grade
Denver,22,B,B,9,2013,grade
Denver,19,B+,B+,10,2013,grade
Denver,33,C+,C+,11,2013,grade
Denver,33,C+,C+,12,2013,grade
Denver,27,B-,B-,22,2013,grade
Denver,20,B+,B+,23,2013,grade
Detroit,43,C-,C-,1,2013,grade
Detroit,46,D+,D+,2,2013,grade
Detroit,29,B-,B-,6,2013,grade
Detroit,28,B-,B-,7,2013,grade
Detroit,22,B,B,8,2013,grade
Detroit,35,C+,C+,9,2013,grade
Detroit,24,B,B,10,2013,grade
Detroit,24,B,B,11,2013,grade
Detroit,37,C,C,12,2013,grade
Detroit,35,C+,C+,22,2013,grade
Detroit,14,A-,A-,23,2013,grade
Houston,3,A+,A+,1,2013,grade
Houston,6,A,A,2,2013,grade
Houston,12,A-,A-,6,2013,grade
Houston,5,A+,A+,7,2013,grade
Houston,7,A,A,8,2013,grade
Houston,13,A-,A-,9,2013,grade
Houston,23,B,B,10,2013,grade
Houston,11,A-,A-,11,2013,grade
Houston,9,A,A,12,2013,grade
Houston,13,A-,A-,22,2013,grade
Houston,19,B+,B+,23,2013,grade
Indianapolis,20,B+,B+,1,2013,grade
Indianapolis,24,B,B,2,2013,grade
Indianapolis,44,C-,C-,6,2013,grade
Indianapolis,46,D+,D+,7,2013,grade
Indianapolis,48,D+,D+,8,2013,grade
Indianapolis,52,D,D,9,2013,grade
Indianapolis,20,B+,B+,10,2013,grade
Indianapolis,44,C-,C-,11,2013,grade
Indianapolis,25,B,B,12,2013,grade
Indianapolis,51,D,D,22,2013,grade
Indianapolis,37,C,C,23,2013,grade
Jacksonville,26,B-,B-,1,2013,grade
Jacksonville,23,B,B,2,2013,grade
Jacksonville,17,B+,B+,6,2013,grade
Jacksonville,22,B,B,7,2013,grade
Jacksonville,21,B+,B+,8,2013,grade
Jacksonville,18,B+,B+,9,2013,grade
Jacksonville,13,A-,A-,10,2013,grade
Jacksonville,25,B,B,11,2013,grade
Jacksonville,15,A-,A-,12,2013,grade
Jacksonville,19,B+,B+,22,2013,grade
Jacksonville,9,A,A,23,2013,grade
Las Vegas,24,B,B,1,2013,grade
Las Vegas,30,B-,B-,2,2013,grade
Las Vegas,10,A,A,6,2013,grade
Las Vegas,14,A-,A-,7,2013,grade
Las Vegas,17,B+,B+,8,2013,grade
Las Vegas,9,A,A,9,2013,grade
Las Vegas,22,B,B,10,2013,grade
Las Vegas,5,A+,A+,11,2013,grade
Las Vegas,3,A+,A+,12,2013,grade
Las Vegas,2,A+,A+,22,2013,grade
Las Vegas,30,B-,B-,23,2013,grade
